Name;Country;lat;lon;Description
The National Gallery; United Kingdom;56.7814293;-2.53678;Monument or Site
"Centre of Technology and Industrial Design ""Engineering Arsenal"" Art Museums of Latvia"; Latvia;56.9521213;24.079025751808224;Museum
Skara Jönköpings läns museum; Sweden;57.7801989;14.1759104;Museum
Jönköping; Sweden;57.7825634;14.165719;Monument or Site
Mikkel Museum; Estonia;58.6634535;25.256125663450465;Museum
Sörmlands County museum; Sweden;58.74588275;17.01389743818747;Monument or Site
Haapsalu Old Town Hall; Estonia;58.936616;23.54165;Monument or Site
Haapsalu Castle; Estonia;58.9470189;23.5394733;Monument or Site
Ants Laikmaa Museum; Estonia;58.9494231;23.6816056;Museum
Iisaku Parish Museum; Estonia;59.10139;27.30806;Museum
Nationalmuseum/ The National Museum - (Museum of art and design); Sweden;59.3196224;18.0704322;Monument or Site
Moderna museet / Modern Art Museum; Sweden;59.3263494;18.0840004;Monument or Site
Livrustkammaren/ Royal Armoury; Sweden;59.326615;18.073078;Monument or Site
Stiftelsen Nordiska museet; Sweden;59.3291464;18.093890016427466;Monument or Site
Kadriorg Art Museum; Estonia;59.348709;26.360551;Museum
Estonian Museum of Applied Art and Design; Estonia;59.36679;24.876858;Museum
Narva Museum; Estonia;59.3754284;28.2013775;Museum
Vabamu Museum of Occupations and Freedom; Estonia;59.3799414;24.6981871;Museum
Niguliste Museum; Estonia;59.435836;24.742838;Museum
